#! FIELDS chi projection
#! SET min_chi -pi
#! SET max_chi pi
#! SET nbins_chi  51
#! SET periodic_chi true
   -3.141592654  -83.355217721
   -3.018392942  -85.259124648
   -2.895193230  -86.757978946
   -2.771993518  -88.035272482
   -2.648793806  -89.186065266
   -2.525594094  -90.046614359
   -2.402394382  -90.409689025
   -2.279194670  -90.245896533
   -2.155994958  -89.656491430
   -2.032795246  -88.775605844
   -1.909595535  -87.715752377
   -1.786395823  -86.582359782
   -1.663196111  -85.496828620
   -1.539996399  -84.530742977
   -1.416796687  -83.651805999
   -1.293596975  -82.710972616
   -1.170397263  -81.503879384
   -1.047197551  -79.779686047
   -0.923997839  -77.240398710
   -0.800798127  -73.672165434
   -0.677598415  -69.163090519
   -0.554398704  -64.197077457
   -0.431198992  -59.560274082
   -0.307999280  -56.120047048
   -0.184799568  -54.538686191
   -0.061599856  -55.094058180
    0.061599856  -57.620994723
    0.184799568  -61.692153560
    0.307999280  -66.774943210
    0.431198992  -72.210134047
    0.554398704  -77.319328874
    0.677598415  -81.571886142
    0.800798127  -84.606255389
    0.923997839  -86.225561202
    1.047197551  -86.434973697
    1.170397263  -85.484596961
    1.293596975  -83.815785500
    1.416796687  -81.888661750
    1.539996399  -79.987197778
    1.663196111  -78.198874634
    1.786395823  -76.556555922
    1.909595535  -75.128413441
    2.032795246  -74.008671794
    2.155994958  -73.301394620
    2.279194670  -73.082049130
    2.402394382  -73.383625469
    2.525594094  -74.145708719
    2.648793806  -75.281136781
    2.771993518  -76.791198587
    2.895193230  -78.758474224
    3.018392942  -81.078841728
